,Unnamed: 0,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,output
0,ODIs,84,84,3,2727,131*,33.66,3082,88.48,6,14,323,55,64,25,5
1,ODIs,5,4,1,68,32,22.66,116,58.62,0,0,5,2,2,0,3
2,ODIs,10,6,6,14,7*,0,31,45.16,0,0,1,0,3,0,1
3,ODIs,18,18,0,653,127,36.27,676,96.59,2,3,70,11,6,0,5
4,ODIs,10,8,3,74,19*,14.80,89,83.14,0,0,11,0,4,0,3
5,ODIs,4,3,2,95,62,95.00,96,98.95,0,1,8,5,0,0,4
6,ODIs,1,1,0,2,2,2.00,8,25.00,0,0,0,0,0,0,1
7,ODIs,6,4,0,60,28,15.00,40,150.00,0,0,3,5,1,0,3
8,ODIs,51,17,10,56,13,8.00,63,88.88,0,0,6,0,11,0,3
9,ODIs,10,8,2,78,28,13.00,105,74.28,0,0,5,2,2,0,4
10,ODIs,39,39,4,943,109*,26.94,1161,81.22,1,5,78,12,9,0,5
11,ODIs,4,3,2,9,8*,9.00,21,42.85,0,0,1,0,2,0,1
12,ODIs,4,2,0,19,11,9.50,30,63.33,0,0,2,0,0,0,1
13,ODIs,58,44,10,636,72,18.70,769,82.70,0,1,48,13,13,0,5
14,ODIs,41,38,2,646,78*,17.94,1085,59.53,0,1,46,2,29,4,5
15,ODIs,12,12,2,113,27,11.30,149,75.83,0,0,8,5,5,0,5
16,ODIs,2,2,0,31,22,15.50,35,88.57,0,0,4,0,1,0,2
17,ODIs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,ODIs,2,2,0,20,20,10.00,19,105.26,0,0,3,0,1,0,1
19,ODIs,2,2,0,33,33,16.50,58,56.89,0,0,2,0,1,0,2
20,ODIs,18,14,1,361,52,27.76,280,128.92,0,3,20,21,5,0,5
21,ODIs,4,0,0,0,0,0,0,0,0,0,0,0,2,0,1
22,ODIs,123,121,6,5267,179,45.80,5500,95.76,18,21,555,82,55,0,5
23,ODIs,206,194,27,6323,134*,37.86,7641,82.75,9,47,574,42,50,0,5
24,ODIs,65,52,8,1281,100,29.11,1605,79.81,1,6,112,15,34,0,5
25,ODIs,11,11,0,182,62,16.54,342,53.21,0,1,14,0,5,0,5
26,ODIs,11,11,0,262,96,23.81,396,66.16,0,2,33,0,4,0,5
27,ODIs,85,68,9,1397,170*,23.67,1220,114.50,1,4,149,43,105,12,5
28,ODIs,6,6,2,146,61,36.50,164,89.02,0,1,12,5,1,0,5
29,ODIs,5,3,2,7,6*,7.00,6,116.66,0,0,0,0,1,0,1
30,ODIs,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1
31,ODIs,54,40,6,566,71,16.64,931,60.79,0,3,66,2,10,0,5
32,ODIs,41,38,7,1050,146*,33.87,1143,91.86,1,6,89,36,12,0,5
33,ODIs,4,4,1,14,7,4.66,26,53.84,0,0,2,0,0,0,1
34,ODIs,207,205,9,7202,158,36.74,9153,78.68,13,47,783,91,54,0,5
35,ODIs,10,4,2,9,8*,4.50,11,81.81,0,0,0,1,1,0,1
36,ODIs,3,2,0,50,32,25.00,55,90.90,0,0,7,1,0,0,3
37,ODIs,76,31,17,68,25,4.85,127,53.54,0,0,4,1,8,0,3
38,ODIs,9,6,1,14,10,2.80,30,46.66,0,0,0,1,1,0,1
39,ODIs,7,3,0,11,7,3.66,16,68.75,0,0,1,0,1,0,1
40,ODIs,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
41,ODIs,14,7,4,8,6*,2.66,37,21.62,0,0,0,0,1,0,1
42,ODIs,3,3,0,20,12,6.66,28,71.42,0,0,2,1,0,0,1
43,ODIs,32,21,6,252,92,16.80,262,96.18,0,1,20,6,7,0,5
44,ODIs,3,3,0,40,38,13.33,49,81.63,0,0,6,1,2,0,2
45,ODIs,113,108,13,2902,124,30.54,4132,70.23,3,18,239,68,34,0,5
46,ODIs,47,45,2,1059,107,24.62,1506,70.31,1,5,110,9,13,0,5
47,ODIs,90,87,3,2962,111,35.26,3767,78.63,3,24,293,33,48,0,5
48,ODIs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,ODIs,136,133,7,5688,143,45.14,6050,94.01,17,29,710,69,62,0,5
50,ODIs,165,110,38,2296,87,31.88,2671,85.96,0,12,172,43,58,0,5
51,ODIs,2,2,0,69,41,34.50,56,123.21,0,0,12,2,1,0,3
52,ODIs,5,5,0,27,9,5.40,59,45.76,0,0,2,0,2,0,2
53,ODIs,5,5,3,20,13,10.00,25,80.00,0,0,1,1,1,0,1
54,ODIs,7,5,4,30,11*,30.00,25,120.00,0,0,2,1,1,0,2
55,ODIs,78,73,6,1882,101*,28.08,2535,74.24,1,13,125,39,29,0,5
56,ODIs,5,2,2,1,1*,0,6,16.66,0,0,0,0,2,0,1
57,ODIs,8,8,6,30,7*,15.00,61,49.18,0,0,3,0,0,0,2
58,ODIs,8,7,0,142,52,20.28,173,82.08,0,1,8,5,1,0,5
59,ODIs,35,34,3,783,101,25.25,1222,64.07,1,4,86,16,8,0,5
60,ODIs,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1
61,ODIs,51,48,3,1610,176*,35.77,1919,83.89,3,8,166,43,17,0,5
62,ODIs,1,1,0,2,2,2.00,9,22.22,0,0,0,0,1,0,1
63,ODIs,37,37,5,1723,151,53.84,2141,80.47,7,6,135,15,7,0,5
64,ODIs,51,50,1,1216,114,24.81,1923,63.23,1,7,132,4,15,0,5
65,ODIs,75,28,12,259,31*,16.18,333,77.77,0,0,20,5,22,0,5
66,ODIs,35,30,10,549,52*,27.45,633,86.72,0,2,53,11,13,0,5
67,ODIs,49,45,5,1109,131*,27.72,1020,108.72,1,4,86,55,11,0,5
68,ODIs,8,8,0,206,62,25.75,268,76.86,0,1,22,4,7,2,5
69,ODIs,111,61,19,675,65,16.07,776,86.98,0,1,59,6,30,0,5
70,ODIs,209,208,4,5658,178*,27.73,7728,73.21,5,34,585,86,71,0,5
71,ODIs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72,ODIs,151,144,14,6173,148,47.48,7551,81.75,13,39,563,49,60,0,5
73,ODIs,21,16,6,707,95,70.70,864,81.82,0,7,41,16,9,0,5
74,ODIs,18,15,3,190,78,15.83,200,95.00,0,1,15,8,5,0,5
75,ODIs,36,18,8,100,28,10.00,157,63.69,0,0,9,1,8,0,5
76,ODIs,62,60,8,1964,137*,37.76,2995,65.57,2,16,182,8,59,9,5
77,ODIs,38,34,3,736,95,23.74,962,76.50,0,4,79,7,30,9,5
78,ODIs,3,2,1,23,16*,23.00,23,100.00,0,0,2,1,1,0,1
79,ODIs,127,106,14,3194,139*,34.71,4419,72.27,4,21,246,25,38,0,5
80,ODIs,84,41,21,57,9*,2.85,210,27.14,0,0,1,0,11,0,3
81,ODIs,4,3,1,71,44*,35.50,81,87.65,0,0,5,0,4,0,3
82,ODIs,3,2,1,2,2*,2.00,7,28.57,0,0,0,0,1,0,1
83,ODIs,9,3,1,2,1*,1.00,7,28.57,0,0,0,0,4,0,1
84,ODIs,3,3,1,152,129*,76.00,166,91.56,1,0,11,4,3,0,5
85,ODIs,18,16,1,748,103,49.86,742,100.80,1,8,73,17,8,0,5
86,ODIs,45,42,7,895,84,25.57,1154,77.55,0,5,90,8,20,0,5
87,ODIs,4,4,2,68,32*,34.00,73,93.15,0,0,6,3,3,0,3
88,ODIs,55,54,3,1728,127*,33.88,1753,98.57,2,11,200,42,33,0,5
89,ODIs,45,28,10,296,79,16.44,413,71.67,0,1,17,6,19,0,5
90,ODIs,71,56,9,905,60*,19.25,906,99.88,0,4,81,28,22,0,5
91,ODIs,12,12,3,234,86,26.00,386,60.62,0,2,18,1,3,3,5
92,ODIs,65,56,8,1041,82*,21.68,1424,73.10,0,5,84,25,12,0,5
93,ODIs,14,13,1,177,34,14.75,234,75.64,0,0,16,3,7,0,5
94,ODIs,2,1,0,0,0,0.00,2,0.00,0,0,0,0,0,0,1
95,ODIs,34,28,6,474,59*,21.54,437,108.46,0,3,41,17,18,0,5
96,ODIs,9,9,0,185,73,20.55,269,68.77,0,2,26,1,1,0,5
97,ODIs,12,11,2,162,32,18.00,170,95.29,0,0,11,7,3,0,5
98,ODIs,102,83,14,1783,128,25.84,1713,104.08,3,5,157,60,32,0,5
99,ODIs,42,39,2,1273,128,34.40,1414,90.02,1,10,135,16,12,0,5
100,ODIs,24,21,2,430,56,22.63,408,105.39,0,2,27,24,11,3,5
101,ODIs,22,20,1,632,117,33.26,649,97.38,1,4,46,6,14,0,5
102,ODIs,5,5,0,32,16,6.40,67,47.76,0,0,3,0,2,0,2
103,ODIs,7,6,0,305,108,50.83,323,94.42,1,2,21,0,1,0,5
104,ODIs,2,2,0,122,69,61.00,218,55.96,0,2,14,1,0,0,5
105,ODIs,74,72,10,3359,125*,54.17,3857,87.08,11,15,289,31,36,0,5
106,ODIs,7,6,0,138,46,23.00,192,71.87,0,0,20,0,1,0,5
107,ODIs,2,2,0,12,8,6.00,18,66.66,0,0,1,0,0,0,1
108,ODIs,68,65,3,1958,122,31.58,2680,73.05,2,16,162,50,28,0,5
109,ODIs,55,50,14,1694,124*,47.05,2143,79.04,3,10,145,30,17,0,5
110,ODIs,24,22,4,421,70*,23.38,725,58.06,0,2,27,8,7,0,5
111,ODIs,78,78,2,2434,144,32.02,3423,71.10,4,16,238,37,21,0,5
112,ODIs,13,7,3,16,14,4.00,31,51.61,0,0,3,0,3,0,1
113,ODIs,5,2,1,53,45,53.00,55,96.36,0,0,7,2,3,0,3
114,ODIs,12,5,5,14,10*,0,27,51.85,0,0,1,0,4,0,1
115,ODIs,21,21,2,507,102,26.68,665,76.24,1,2,49,5,13,0,5
116,ODIs,32,32,2,799,111,26.63,767,104.17,1,5,93,20,17,0,5
117,ODIs,9,5,2,41,16,13.66,56,73.21,0,0,5,0,17,1,2
118,ODIs,105,99,12,2072,113,23.81,2880,71.94,1,12,180,21,73,10,5
119,ODIs,1,1,1,15,15*,0,26,57.69,0,0,0,1,0,0,1
120,ODIs,1,1,0,9,9,9.00,33,27.27,0,0,0,0,0,0,1
121,ODIs,2,2,0,12,7,6.00,39,30.76,0,0,0,0,0,0,1
122,ODIs,21,18,1,196,35,11.52,330,59.39,0,0,14,6,12,0,5
123,ODIs,16,14,0,211,70,15.07,344,61.33,0,1,21,1,8,0,5
124,ODIs,25,14,10,90,28,22.50,147,61.22,0,0,8,0,4,0,4
125,ODIs,34,25,7,343,55*,19.05,527,65.08,0,1,27,8,4,0,5
126,ODIs,46,46,4,1958,210*,46.61,2056,95.23,4,13,228,32,21,0,5
127,ODIs,2,2,0,11,6,5.50,20,55.00,0,0,1,0,1,0,1
128,ODIs,14,7,3,13,7*,3.25,22,59.09,0,0,1,0,4,0,1
129,ODIs,113,104,8,2496,119,26.00,2637,94.65,3,10,157,125,61,0,5
130,ODIs,47,47,0,955,112,20.31,1190,80.25,1,3,93,24,12,0,5
131,ODIs,19,12,2,158,57,15.80,214,73.83,0,1,11,3,3,0,5
132,ODIs,30,21,5,148,18,9.25,247,59.91,0,0,13,1,10,0,5
133,ODIs,10,10,0,222,56,22.20,321,69.15,0,2,29,1,3,0,5
134,ODIs,18,15,6,134,42*,14.88,218,61.46,0,0,8,3,6,0,5
135,ODIs,117,114,2,4121,177,36.79,4750,86.75,8,24,451,89,45,0,5
136,ODIs,1,1,0,0,0,0.00,4,0.00,0,0,0,0,0,0,1
137,ODIs,4,2,1,3,3*,3.00,19,15.78,0,0,0,0,2,0,1
138,ODIs,15,8,4,42,13,10.50,80,52.50,0,0,2,0,3,0,2
139,ODIs,38,37,1,1249,133,34.69,1454,85.90,2,8,128,16,12,0,5
140,ODIs,39,36,3,924,92,28.00,1263,73.15,0,4,95,10,18,0,5
141,ODIs,3,2,0,78,50,39.00,75,104.00,0,1,6,5,0,0,4
142,ODIs,53,53,3,1845,102,36.90,2478,74.45,3,12,168,14,8,0,5
143,ODIs,9,7,0,38,16,5.42,54,70.37,0,0,4,1,1,0,2
144,ODIs,5,2,0,28,28,14.00,18,155.55,0,0,4,1,1,0,2
145,ODIs,3,2,0,14,10,7.00,17,82.35,0,0,1,0,0,0,1
146,ODIs,31,27,2,683,97,27.32,920,74.23,0,5,66,0,10,0,5
147,ODIs,15,15,0,411,118,27.40,520,79.03,1,2,37,10,3,0,5
148,ODIs,28,24,1,482,58,20.95,527,91.46,0,4,38,10,13,2,5
149,ODIs,25,25,3,562,61,25.54,732,76.77,0,2,62,13,11,0,5
150,ODIs,8,8,1,142,56,20.28,196,72.44,0,1,13,0,13,1,5
151,ODIs,17,4,1,6,6,2.00,7,85.71,0,0,0,1,3,0,1
152,ODIs,25,23,4,932,118,49.05,875,106.51,1,7,87,30,8,1,5
153,ODIs,87,83,2,3434,180,42.39,3201,107.27,9,18,395,70,31,0,5
154,ODIs,103,101,9,2581,109,28.05,3638,70.94,1,18,218,30,90,14,5
155,ODIs,3,3,0,84,40,28.00,82,102.43,0,0,12,2,0,0,4
156,ODIs,23,23,1,468,62,21.27,584,80.13,0,2,56,8,7,0,5
157,ODIs,9,7,0,43,18,6.14,68,63.23,0,0,4,2,0,0,2
158,ODIs,54,40,14,502,44,19.30,513,97.85,0,0,44,12,15,0,5
159,ODIs,199,179,40,5117,150*,36.81,6052,84.55,4,27,347,75,82,0,5
160,ODIs,4,4,0,97,39,24.25,144,67.36,0,0,11,2,3,0,4
161,ODIs,13,6,3,17,7*,5.66,45,37.77,0,0,2,0,3,0,1
162,ODIs,5,3,3,30,15*,0,40,75.00,0,0,1,0,0,0,2
163,ODIs,18,17,1,242,45,15.12,412,58.73,0,0,15,4,10,0,5
164,ODIs,52,9,3,49,18*,8.16,84,58.33,0,0,7,0,15,0,2
165,ODIs,59,47,14,745,71,22.57,1159,64.27,0,2,57,6,18,0,5
166,ODIs,33,32,9,1541,119,67.00,1757,87.70,5,9,130,29,13,0,5
167,ODIs,14,7,2,29,11*,5.80,43,67.44,0,0,3,1,2,0,2
168,ODIs,8,8,1,211,69,30.14,269,78.43,0,1,16,1,2,0,5
169,ODIs,11,11,2,253,109,28.11,327,77.37,1,1,27,5,6,0,5
170,ODIs,58,34,15,563,69*,29.63,643,87.55,0,1,55,19,13,0,5
171,ODIs,65,38,14,508,56,21.16,648,78.39,0,1,39,8,12,0,5
172,ODIs,5,4,0,5,5,1.25,9,55.55,0,0,1,0,0,0,1
173,ODIs,107,36,16,157,29,7.85,225,69.77,0,0,21,1,25,0,5
174,ODIs,16,16,0,361,67,22.56,409,88.26,0,2,38,17,3,0,5
175,ODIs,25,16,6,35,14,3.50,56,62.50,0,0,3,1,5,0,2
176,ODIs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
177,ODIs,9,9,0,154,45,17.11,132,116.66,0,0,18,9,1,0,5
178,ODIs,228,218,39,9577,176,53.50,9473,101.09,25,53,840,204,176,5,5
179,ODIs,60,33,21,48,12,4.00,149,32.21,0,0,5,2,11,0,2
180,ODIs,3,3,0,62,27,20.66,70,88.57,0,0,4,0,0,0,3
181,ODIs,7,7,1,63,23,10.50,140,45.00,0,0,6,0,2,0,3
182,ODIs,20,15,1,228,39,16.28,251,90.83,0,0,24,3,8,0,5
183,ODIs,5,5,2,26,14,8.66,38,68.42,0,0,2,1,0,0,2
184,ODIs,5,4,1,163,84,54.33,211,77.25,0,1,18,1,2,0,5
185,ODIs,2,1,1,11,11*,0,6,183.33,0,0,1,0,0,0,1
186,ODIs,19,19,0,455,72,23.94,677,67.20,0,6,40,11,7,0,5
187,ODIs,5,1,0,7,7,7.00,13,53.84,0,0,0,0,2,0,1
188,ODIs,121,110,17,3194,102*,34.34,3712,86.04,2,20,268,53,77,13,5
189,ODIs,10,10,2,272,58,34.00,379,71.76,0,3,23,3,5,0,5
190,ODIs,2,2,0,11,7,5.50,23,47.82,0,0,0,0,0,0,1
191,ODIs,41,26,4,393,51,17.86,508,77.36,0,1,39,4,13,0,5
192,ODIs,6,6,0,90,52,15.00,145,62.06,0,1,7,1,0,0,4
193,ODIs,7,7,1,62,34*,10.33,91,68.13,0,0,6,1,2,0,3
194,ODIs,64,15,10,19,10*,3.80,44,43.18,0,0,2,1,17,0,1
195,ODIs,6,6,0,335,113,55.83,363,92.28,1,1,30,4,4,0,5
196,ODIs,58,50,5,1004,96,22.31,1176,85.37,0,5,84,19,28,0,5
197,ODIs,22,10,1,135,50,15.00,145,93.10,0,1,9,4,6,0,5
198,ODIs,2,2,0,46,39,23.00,88,52.27,0,0,6,0,0,0,2
199,ODIs,19,13,5,85,22,10.62,101,84.15,0,0,3,7,7,0,4
200,ODIs,142,117,23,3843,150,40.88,3207,119.83,9,20,321,125,171,31,5
201,ODIs,3,2,1,18,12,18.00,22,81.81,0,0,1,0,0,0,1
202,ODIs,54,38,6,957,83,29.90,828,115.57,0,4,69,40,22,0,5
203,ODIs,2,1,0,25,25,25.00,17,147.05,0,0,2,2,0,0,2
204,ODIs,1,1,0,9,9,9.00,6,150.00,0,0,1,0,0,0,1
205,ODIs,153,97,39,779,53*,13.43,1020,76.37,0,1,55,21,32,0,5
206,ODIs,143,136,20,5507,185,47.47,6215,88.60,12,35,495,66,81,0,5
207,ODIs,26,25,3,590,52,26.81,504,117.06,0,1,46,29,9,0,5
208,ODIs,33,14,3,81,24,7.36,104,77.88,0,0,4,4,8,0,4
209,ODIs,7,5,1,52,20,13.00,47,110.63,0,0,5,1,2,0,3
210,ODIs,39,39,6,1062,97*,32.18,1667,63.70,0,9,90,3,9,0,5
211,ODIs,8,8,2,267,129*,44.50,324,82.40,1,0,22,7,5,0,5
212,ODIs,5,3,0,15,8,5.00,23,65.21,0,0,0,1,2,0,1
213,ODIs,57,53,2,1271,87,24.92,1214,104.69,0,8,138,36,22,0,5
214,ODIs,22,3,2,0,0*,0.00,2,0.00,0,0,0,0,5,0,1
215,ODIs,44,42,6,1115,139*,30.97,1615,69.04,2,6,93,8,22,0,5
216,ODIs,10,7,1,46,20,7.66,43,106.97,0,0,7,0,7,0,2
217,ODIs,8,8,0,60,20,7.50,135,44.44,0,0,7,2,2,0,3
